URI,RMM_Tool
*system-monitor.com,N-Able Advanced Monitoring Agent
cloudbackup.management,N-Able Advanced Monitoring Agent
*systemmonitor.co.uk,N-Able Advanced Monitoring Agent
n-able.com,N-Able Advanced Monitoring Agent
systemmonitor.us,N-Able Advanced Monitoring Agent
*systemmonitor.eu.com,N-Able Advanced Monitoring Agent
*.logicnow.com,N-Able Advanced Monitoring Agent
*.swi-tc.com,N-Able Advanced Monitoring Agent
*remote.management,N-Able Advanced Monitoring Agent
systemmonitor.us.cdn.cloudflare.net,N-Able Advanced Monitoring Agent
*cloudbackup.management,N-Able Advanced Monitoring Agent
remote.management,N-Able Advanced Monitoring Agent
logicnow.com,N-Able Advanced Monitoring Agent
system-monitor.com,N-Able Advanced Monitoring Agent
*systemmonitor.us,N-Able Advanced Monitoring Agent
systemmonitor.eu.com,N-Able Advanced Monitoring Agent
*.n-able.com,N-Able Advanced Monitoring Agent
ocsinventory-ng.org,OCS inventory
logmein-gateway.com,LogMeIn
*.logmein.com,LogMeIn
*.logmein.eu,LogMeIn
logmeinrescue.com,LogMeIn
*.logmeininc.com,LogMeIn
*.ivanticloud.com,LANDesk
*.ivanti.com,LANDesk
ivanti.com,LANDesk
*.ezhelp.co.kr,ezHelp
ezhelp.co.kr,ezHelp
global.rel.tunnels.api.visualstudio.com,Visual Studio Dev Tunnel
*.rel.tunnels.api.visualstudio.com,Visual Studio Dev Tunnel
*.devtunnels.ms,Visual Studio Dev Tunnel
electric.ai,Electric AI (Kaseya)
manageengine.com/remote-monitoring-management/,ManageEngine RMM Central
imperosoftware.com,Impero Connect
*.internetid.ru,Remote Manipulator System
rmansys.ru,Remote Manipulator System
*.remotedesktop.com,RemotePC
*.remotepc.com,RemotePC
www.remotepc.com,RemotePC
remotepc.com,RemotePC
*.my.auvik.com,Auvik
*.auvik.com,Auvik
auvik.com,Auvik
tmate.io,tmate
*.tmate.io,tmate
ultravnc.com,UltraVNC
rustdesk.com,RustDesk
web.rustdesk.com,RustDesk
api.rustdesk.com,RustDesk
rs-ny.rustdesk.com,RustDesk
*.anyviewer.com,AnyViewer
*.aomeisoftware.com,AnyViewer
skyfex.com,SkyFex
deskroll.com,SkyFex
*.deskroll.com,SkyFex
splashtop.com,Splashtop Remote
*.api.splashtop.com,Splashtop Remote
*.relay.splashtop.com,Splashtop Remote
*.api.splashtop.eu,Splashtop Remote
desktopcentral.manageengine.com,Manage Engine (Desktop Central)
desktopcentral.manageengine.com.eu,Manage Engine (Desktop Central)
desktopcentral.manageengine.cn,Manage Engine (Desktop Central)
*.dms.zoho.com,Manage Engine (Desktop Central)
*.dms.zoho.com.eu,Manage Engine (Desktop Central)
*.-dms.zoho.com.cn,Manage Engine (Desktop Central)
*.247ithelp.com,247ithelp.com (ConnectWise)
idrive.com,iDrive
*.idrive.com,iDrive
api.idrive.com,iDrive
*.senso.cloud,Senso.cloud
senso.cloud,Senso.cloud
*.cloudberrylab.com,MSP360
*.msp360.com,MSP360
*.mspbackups.com,MSP360
msp360.com,MSP360
eset.com/me/business/remote-management/remote-administrator/,ESET Remote Administrator
*.intelliadmin.com,IntelliAdmin Remote Control
intelliadmin.com/remote-control,IntelliAdmin Remote Control
islonline.com,ISL Light
encapto.com,Encapto
*.duetdisplay.com,Duet Display
rdp.duetdisplay.com,Duet Display
duetdisplay.com,Duet Display
*.itagent.com,Duet Display
itagent.com,Duet Display
*remote.management,N-Able Advanced Monitoring Agent
*.logicnow.com,N-Able Advanced Monitoring Agent
*systemmonitor.us,N-Able Advanced Monitoring Agent
*systemmonitor.eu.com,N-Able Advanced Monitoring Agent
*system-monitor.com,N-Able Advanced Monitoring Agent
systemmonitor.us.cdn.cloudflare.net,N-Able Advanced Monitoring Agent
*cloudbackup.management,N-Able Advanced Monitoring Agent
*systemmonitor.co.uk,N-Able Advanced Monitoring Agent
*.n-able.com,N-Able Advanced Monitoring Agent
*.beanywhere.com ,N-Able Advanced Monitoring Agent
*.swi-tc.com,N-Able Advanced Monitoring Agent
*.real-time-collaboration.com,Mikogo
*.mikogo4.com,Mikogo
*.mikogo.com,Mikogo
mikogo.com,Mikogo
naverisk.com,Naverisk
*.jumpdesktop.com,Jump Desktop
jumpdesktop.com,Jump Desktop
jumpto.me,Jump Desktop
*.jumpto.me,Jump Desktop
tightvnc.com,TightVNC
kickidler.com,KickIdler
my.kickidler.com,KickIdler
rport.io,RPort
level.io,Level.io
*.level.io,Level.io
parsec.app,Parsec
parsec.gg,Parsec
*.parsec.app,Parsec
systemmanager.ru/dntu.en/rdp_view.htm,RDPView
nvaccess.org,NVDA (Non-Visual Desktop Access)
*.nvaccess.org,NVDA (Non-Visual Desktop Access)
ammyy.com,Ammyy Admin
*ammyy.com,Ammyy Admin
136.243.104.235,Ammyy Admin
136.243.104.242,Ammyy Admin
136.243.18.122,Ammyy Admin
emcosoftware.com,EMCO Remote Console
*.fixme.it,FixMe.it
*.techinline.net,FixMe.it
fixme.it,FixMe.it
*set.me,FixMe.it
*setme.net,FixMe.it
zerotier.com,ZeroTier
*.zerotier.com,ZeroTier
anyplace-control.com,Anyplace Control
deskday.ai,DeskDay
app.deskday.ai,DeskDay
getscreen.me,GetScreen
GetScreen.me,GetScreen
*.getscreen.me,GetScreen
runsmart.io,RunSmart
*.ntrsupport.com,NTR Remote
splashtop.com,Splashtop (Beta)
*.nchuser.com,DesktopNow
auth.api.remote.it,Remote.it
api.remote.it,Remote.it
remote.it,Remote.it
pilixo.com,Pilixo
download.pilixo.com,Pilixo
*.pilixo.com,Pilixo
*.litemanager.ru,LiteManager
*.litemanager.com,LiteManager
litemanager.com,LiteManager
connectwise.com,LabTech RMM (Now ConnectWise Automate)
*.lunixar.com,Lunixar
lunixar.com,Lunixar
app.lunixar.com,Lunixar
socket.lunixar.com,Lunixar
downloads.lunixar.com,Lunixar
devrmm.lunixar.com,Lunixar
mymeetinggoogle.com,Lunixar
*.islonline.net,Barracuda
rmm.barracudamsp.com,Barracuda
barracudamsp.com,Barracuda
*.islonline.com,ISL Online
*.islonline.net,ISL Online
trusted.panorama9.com,Panorama9
changes.panorama9.com,Panorama9
panorama9.com,Panorama9
sunlogin.oray.com,SunLogin
client.oray.net,SunLogin
*.logmeinrescue.com,LogMeIn rescue
*.logmeinrescue.eu,LogMeIn rescue
logmeinrescue.com,LogMeIn rescue
rescue-list.*.logmein-gateway.com,LogMeIn rescue
rescue-data-cetner.logmein-gateway.com,LogMeIn rescue
*.khelpdesk.com.br,KHelpDesk
control.connectwise.com,ScreenConnect
*.connectwise.com,ScreenConnect
*.screenconnect.com,ScreenConnect
deploy01.kaseya.com,Kaseya (VSA)
*managedsupport.kaseya.net,Kaseya (VSA)
*.kaseya.net,Kaseya (VSA)
kaseya.com,Kaseya (VSA)
live.screenconnect.com,ConnectWise Control
control.connectwise.com,ConnectWise Control
simple-help.com,SimpleHelp
51.255.19.178,SimpleHelp
51.255.19.179,SimpleHelp
*.instanthousecall.com,Instant Housecall
*.instanthousecall.net,Instant Housecall
instanthousecall.com,Instant Housecall
secure.instanthousecall.com,Instant Housecall
*.instanthousecall.com,Instant Housecall
secure.instanthousecall.com,Instant Housecall
*.instanthousecall.net,Instant Housecall
instanthousecall.com,Instant Housecall
simple-help.com,SimpleHelp
realvnc.com/en/connect/download/vnc,VNC
pulseway.com,Pulseway
*.supremocontrol.com,Supremo
*.support.services.microsoft.com,Quick Assist
*.connect.backdrop.cloud,Netop Remote Control (Impero Connect)
*.netop.com,Netop Remote Control (Impero Connect)
*.teamviewer.com,TeamViewer
router15.teamviewer.com,TeamViewer
client.teamviewer.com,TeamViewer
taf.teamviewer.com,TeamViewer
ericom.com,Ericom AccessNow
mdmsupport.comodo.com,Itarian
*.itsm-us1.comodo.com,Itarian
*.cmdm.comodo.com,Itarian
remoteaccess.itarian.com,Itarian
servicedesk.itarian.com,Itarian
donkz.nl,Remote Desktop Plus
helpu.co.kr,HelpU
*.helpu.co.kr,HelpU
*.parallels.com,Parallels Access
parallels.com/products/ras/try,Parallels Access
beanywhere.en.uptodown.com/windows,BeAnyWhere
beanywhere.com,BeAnyWhere
prod.addigy.com,Addigy
grtmprod.addigy.com,Addigy
agents.addigy.com,Addigy
*.server-eye.de,ServerEye
*.gotohttp.com,GotoHTTP
gotohttp.com,GotoHTTP
*.splashtop.com,Splashtop
*.crossloop.com,CrossLoop
crossloop.en.softonic.com,CrossLoop
*.dwservice.net,DW Service
beamyourscreen.com,BeamYourScreen
*.beamyourscreen.com,BeamYourScreen
centuriontech.com,Centurion
hoptodesk.com,HopToDesk
api.hoptodesk.com,HopToDesk
signal.hoptodesk.com,HopToDesk
turn.hoptodesk.com,HopToDesk
download.hoptodesk.com,HopToDesk
www.hoptodesk.com,HopToDesk
*.superopsbeta.com,SuperOps
superops.ai,SuperOps
serv.superopsalpha.com,SuperOps
