Name,Category,Description,Author
[NordLocker](/rmm_tools/nordlocker),RAT,NordLocker is a remote monitoring and management (RMM) tool. More information will be added as it be...,
[Level.io](/rmm_tools/levelio),RMM,Level.io is a remote monitoring and management (RMM) tool. More information will be added as it beco...,
[DeskNets](/rmm_tools/desknets),RMM,DeskNets is a remote monitoring and management (RMM) tool. More information will be added as it beco...,
[LogMeIn](/rmm_tools/logmein),RMM,LogMeIn is a remote monitoring and management (RMM) tool. More information will be added as it becom...,Nasreddine Bencherchali
[ManageEngine](/rmm_tools/manageengine),RMM,ManageEngine is a remote monitoring and management (RMM) tool. More information will be added as it ...,
[Acronis Cyber Protect (Remotix)](/rmm_tools/acronis-cyber-protect-remotix),RMM,Acronis Cyber Protect (Remotix) is a remote monitoring and management (RMM) tool. More information w...,
[Ninite Pro (Ninite Agent)](/rmm_tools/ninite-pro-ninite-agent),RMM,Ninite Pro is a software deployment and patch management tool that silently installs and updates app...,Lorena Goldoni
[RemSupp](/rmm_tools/remsupp),RMM,RemSupp is a remote desktop / remote support tool observed in a phone-based social engineering phish...,
[Komari](/rmm_tools/komari),RMM,"Komari is a lightweight, self-hosted server monitoring tool with a web interface and lightweight age...",Daniel Koifman (KoifSec)
[Connectwise Automate (LabTech)](/rmm_tools/connectwise-automate-labtech),RMM,Connectwise Automate (LabTech) is a remote monitoring and management (RMM) tool. More information wi...,
[RemoteAgentAgent](/rmm_tools/remoteagentagent),RAT,RemoteAgentAgent is malicious custom Windows remote-management tooling documented in an RVTools SEO ...,Michael Haag
[eHorus](/rmm_tools/ehorus),RMM,eHorus is a remote monitoring and management (RMM) tool. More information will be added as it become...,
[Xeox](/rmm_tools/xeox),RMM,Xeox is a remote monitoring and management (RMM) tool. More information will be added as it becomes ...,
[Netviewer](/rmm_tools/netviewer),RMM,Netviewer is a remote monitoring and management (RMM) tool. More information will be added as it bec...,
[Visual Studio Dev Tunnel](/rmm_tools/visual-studio-dev-tunnel),RAT,Visual Studio Dev Tunnel is a remote monitoring and management (RMM) tool. More information will be ...,
[Pocket Controller](/rmm_tools/pocket-controller),RMM,Pocket Controller is a remote monitoring and management (RMM) tool. More information will be added a...,
[Koofr](/rmm_tools/koofr),RAT,Koofr is a remote monitoring and management (RMM) tool. More information will be added as it becomes...,
[RemotePC](/rmm_tools/remotepc),RMM,RemotePC is a remote monitoring and management (RMM) tool. More information will be added as it beco...,
